year,age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2006,18,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.318,75.043
2004,24,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.255,70.476
2003,45,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.875,130.982
2003,43,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,5.041,154.685
2005,50,M,Divorced,White,HS Grad,Middle Atlantic,Information,Good,Y,4.318,75.043
2008,54,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.845,127.116
2009,44,M,Married,Other,Some College,Middle Atlantic,Industrial,Very Good,Y,5.133,169.529
2008,30,M,Never Married,Asian,Some College,Middle Atlantic,Information,Good,Y,4.716,111.721
2006,41,M,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2004,52,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.857,128.680
2007,45,M,Divorced,White,Some College,Middle Atlantic,Information,Good,Y,4.763,117.147
2007,34,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.398,81.283
2005,35,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.494,89.492
2003,39,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2009,54,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2009,51,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.505,90.482
2003,37,M,Never Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,N,4.415,82.680
2006,50,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,5.361,212.842
2007,56,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.861,129.157
2003,37,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.591,98.599
2003,38,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,N,5.301,200.543
